en,cn,count,r18
takebi,武比,91,0
takenaka hanbee (oda nobuna no yabou),takeaka hanbee (oda nobuna no yabou),91,0
takuyarawr,takuyarawr,91,0
tallinn (azur lane),塔林（碧蓝航线）,91,0
tatsuki (irodori) (style),tatsuki (irodori) (风格),91,0
terazaki kaoru,寺崎薰,91,0
three monkeys,三只猴子,91,0
tia (cocorosso),tia (cocorosso),91,0
tiko (trouble spirit),tiko（麻烦的精神）,91,0
tita russell,泰塔罗素,91,0
toichi (ik07),东一 (ik07),91,0
tomoe gozen (traveling outfit) (fate),tomoe gozen（旅行装）（命运）,91,0
tomoe marguerite,托莫玛格丽特,91,0
touken ranbu: hanamaru,刀剑乱舞：花丸,91,0
touki matsuri,touki matsuri,91,0
toxel,毒电婴,91,0
toy story,玩具总动员,91,0
train (clothing),火车（服装）,91,0
turiganesou800,图里加内苏800,91,0
u-81 (azur lane),u-81（碧蓝航线）,91,0
uesugi kenshin (rance),上杉谦信（兰斯）,91,0
umino iruka,海野 iruka,91,0
urban legend,都市传说,91,0
v (devil may cry),v（鬼泣）,91,0
vanquished queens,被征服的皇后,91,0
wave (world wide wave),波（世界波）,91,0
weshika,维希卡,91,0
wheel o feet,脚轮,91,0
wikipedia,维基百科,91,0
xiang yu (fate),向宇（命运）,91,0
yamaiwa shuuhai,山岩书海,91,0
yomotsuki road,yomotsuki路91号,91,0
yonebayashi saiko,米林西子,91,0
yoshida ayumi,吉田步美,91,0
yuma (coffee-milk-moumou),yuma (咖啡-牛奶-moumou),91,0
yurin leciel,yurin leciel,91,0
yutohiroya,裕太屋,91,0
zefa (neoaltemice),zefa (neoaltemice),91,0
zenos yae galvus,zenos yae galvus,91,0
zipping,拉链,91,0
zz gundam,zz高达91,91,0
;/,眨一只眼,90,0
aer7o,aer7o,90,0
ajimita,阿吉米塔,90,0
aka kitsune,又名狐狸精,90,0
amagai yukino,天井雪乃,90,0
amano yo-ki,天野洋气,90,0
amayadori-tei,天通亭,90,0
amemura ramuda,amemura ramuda,90,0
amira (shingeki no bahamut),阿米拉（shingeki no bahamut）,90,0
aohada bocchi,aohada bocchi,90,0
aoi (princess connect!),aoi（公主连接！）,90,0
arapi,阿拉皮,90,0
argyle sweater vest,菱形毛衣背心,90,0
asuka hina,飞鸟雏,90,0
asukagawa chise,飞鸟川千丝,90,0
au (d elite),非盟（d精英）,90,0
babydoll t-shirt,娃娃装 T 恤,90,0
bakugan,爆丸,90,0
ball bra,球胸罩,90,0
bangalore (apex legends),班加罗尔（顶级传奇）,90,0
bartholomew roberts (fate),巴塞洛缪·罗伯茨（命运）,90,0
basilisk (manga),蛇怪（漫画）,90,0
beach house,海滨别墅,90,0
bell tower,钟楼,90,0
berg-yb,berg-yb,90,0
bladder,膀胱,90,0
blinkblink art,眨眼艺术,90,0
blooper (mario),吹嘘（马里奥）,90,0
bluekalmia,蓝卡米亚,90,0
book of the azure sky,碧空之书,90,0
cabba,卡巴（龙珠）,90,0
caffeccino,咖啡,90,0
camilla (spring) (fire emblem),卡米拉（春天）（火徽）,90,0
cang se ye hua,苍色夜华,90,0
ccccc (jpn m0),ccccc (jpn m0),90,0
chabi (amedama),chabi (amedama),90,0
chao (sonic),超（声波）,90,0
charles zi britannia,查尔斯子不列颠尼亚,90,0
chen hai (vestibule of wonders) (azur lane),陈海（奇迹前庭）（碧蓝航线）,90,0
cioccolatodorima,青豆,90,0
clothes on bed,床上的衣服,90,0
cowengium,银杏,90,0
crossed out,划掉,90,0
daewoo k2,大宇k2,90,0
dark illuminate (idolmaster),暗光（偶像大师）,90,0
demon (monster girl encyclopedia),恶魔（怪物少女百科）,90,0
devil mercy,恶魔怜悯,90,0
dirge of cerberus final fantasy vii,地狱犬的挽歌最终幻想 vii,90,0
donkey girl,驴娘,90,0
donnpati,唐帕蒂,90,0
dudley,达德利（街头霸王）,90,0
ebi tendon,ebi肌腱,90,0
edogawakid,江户川小子,90,0
eiscue (ice),eiscue (冰),90,0
el joey,埃尔乔伊,90,0
elf all-stars datsuijan 2,精灵全明星 datsuijan 2,90,0
elucidator,阐释者,90,0
etou misaki (idolmaster),江户美咲（偶像大师）,90,0
fallopian tubes,输卵管,90,0
fallout new vegas,辐射新维加斯,90,0
fortress,堡垒,90,0
frillish (female),华而不实（女）,90,0
furby,菲比,90,0
furutani kaede,古谷枫,90,0
garun wattanawessako,garun wattanawessako,90,0
gau (n00 shi),高 (n00 时),90,0
gift between breasts,胸部之间的礼物,90,1
gihuta hiroshi,gihuta hiroshi,90,0
gin (tttetu123),杜松子酒 (tttetu123),90,0
gold teeth,金牙,90,0
gorebyss,樱花鱼,90,0
greece (hetalia),希腊（黑塔利亚）,90,0
guild girl (goblin slayer!),公会女孩（哥布林杀手！）,90,0
gundam age-1,高达年龄 1,90,0
gunnjou yosio,gunnjou yosio,90,0
gunparade march,阅兵游行,90,0
hachachi,八八,90,0
hagiko,萩子,90,0
hairclip removed,取下发夹,90,0
harapeko,哈拉佩科,90,0
harumi shinju,新树春美,90,0
head arms,头臂,90,0
henry (fire emblem),亨利（火徽）,90,0
hero (dq7),英雄 (dq7),90,0
hero shot (splatoon),英雄射击（喷射）,90,0
hibikino high school uniform,响野高中校服,90,0
hirano masanori,平野正典,90,0
hoshiibara mato,星原间藤,90,0
hover board,悬停板,90,0
ichino,一野,90,0
igor (persona),伊戈尔（角色）,90,0
ininiro shimuro,ininiro 志室,90,0
inumi,犬美（偶像大师）,90,0
iris amicitia,鸢尾花,90,0
is-2,IS-2坦克（少女与战车）,90,0
ishihara saika,石原彩花,90,0
ishiyuki,石幸,90,0
itou tatsuya,伊东达也,90,0
ivy (sparrowl),常春藤（麻雀）,90,0
izure (pixiv16392012),izure (pixiv16392012),90,0
jacket grab,夹克抓斗,90,0
jean roque lartigue,让·罗克·拉蒂格,90,0
jinno hikari,神野光,90,0
jpc,JP,90,0
junekun,俊坤,90,0
juu (juuzi),juu (juuzi),90,0
kagano ai,鹿野爱,90,0
kaifuku jutsushi no yarinaoshi ~sokushi mahou to skill copy no chouetsu heal~,kaifuku jutsushi no yarinaoshi ~sokushi mahou to Skill Copy no chouetsu Heal~,90,0
kakuzu (naruto),kakuzu (火影忍者),90,0
kamisa,卡米萨,90,0
karpin,卡平,90,0
katou yuuki,加藤优树,90,0
kayu,卡尤,90,0
keijo!!!!!!!!,keijo!!!!!!!,90,0
kemoyuri,克莫尤里,90,0
kimidori (ico),kimidori (ico),90,0
kiri (sub-res),基里 (sub-res),90,0
kj (k777),kj (k777),90,0
kotsu,口津,90,0
kuchisake-onna,裂口女,90,0
kuroneko douji,黑猫童子,90,0
kushidama minaka,串玉水中,90,0
lao meng,老孟,90,0
laundry dragonmaid,洗衣龙女,90,0
laura s. arseid,劳拉 S.阿赛德,90,0
legomaru,乐高丸,90,0
leo kliesen,利奥·克利森,90,0
lord of vermilion iii,朱红领主三世,90,0
lord's blade ciaran,领主之刃 ciaran,90,0
lubrication,润滑,90,0
lyrical lyric,抒情抒情,90,0
macchiato (jae-min cho),玛奇朵（在民町）,90,0
madara hio,madara hio,90,0
mahou shoujo kazumi magica,魔法少女和美魔法90,90,0
manji taba,曼吉塔巴,90,0
marching,行军,90,0
maru takeo,丸武雄,90,0
massan,马山,90,0
matsuo yuusuke,松尾佑介,90,0
me!me!me! dance (meme),我！我！我！舞蹈（模因）,90,0
metal baseball bat,金属棒球棒,90,0
midorima shintarou,绿间真太郎,90,0
minamoto no raikou (swimsuit lancer) (third ascension) (fate),Minamoto no raikou（泳装枪手）（第三次提升）（命运）,90,0
minatoasu,凑,90,0
minawa,水轮,90,0
minuspal,减法,90,0
mitsugi,三木,90,0
miyama-san,宫山,90,0
ml,毫升,90,0
mog,莫格（最终幻想）,90,0
momo (gundam build divers),momo（高达建造潜水员）,90,0
mona (genshin impact) (cosplay),mona (genshin Impact) (cosplay),90,0
morelull,睡睡菇,90,0
moutama,穆塔马,90,0
muromaki,室卷,90,0
nagai gojitsudan no nechronica,nagai gojitsudan no nechronica,90,0
nagashii kouhei,流井口平,90,0
namuna (7th dragon),namuna（第七龙）,90,0
nana (kemono friends),娜娜 (kemono 朋友),90,0
nanna (fire emblem),娜娜（火徽）,90,0
nantaimori,男体盛,90,0
new super marisa land,新超级玛丽莎地,90,0
nippori honsha,日暮里本社,90,0
nishihara yasoko,西原康子,90,0
nogiguchi kohiro,野木口浩弘,90,0
nuneno,努内诺,90,0
nyxerebos,尼克斯瑞博斯,90,0
observer alpha (azur lane),观察者阿尔法（碧蓝航线）,90,0
ofuda on head,大头,90,0
ojiri shin'ya,小尻真也,90,0
olga discordia,奥尔加不和谐,90,0
ooyama imo,大山海事组织,90,0
osmanthus blade,桂花刀,90,0
paper mario 64,纸质马里奥 64,90,0
paryi project,paryi 项目,90,0
pharamacom,法拉马公司,90,0
pharos,法尔罗斯,90,0
photocopier,复印机,90,0
pig nose,猪鼻子,90,0
politics,政治,90,0
precum through clothes,precum 通过衣服,90,1
princess laura,劳拉公主,90,0
priscilla (fire emblem),普莉希拉（火徽）,90,0
punto,蓬托,90,0
rakujin,乐人,90,0
ramina (baallore),拉米娜（巴洛尔）,90,0
rebar,钢筋,90,0
reindeer (kemono friends),驯鹿 (kemono 朋友),90,0
reinhardtzar,莱因哈特扎尔,90,0
remington 870,雷明顿 870,90,0
riela marcellis,瑞拉·马塞利斯,90,0
ripe-tan,ripe-tan,90,0
ronisuke,郎之介,90,0
rope around neck,脖子上的绳子,90,0
rororogi mogera,罗罗罗吉莫格拉,90,0
ryuuji teitoku,龙二帝德,90,0
sasaki (glass1138),佐佐木 (glass1138),90,0
saya (scabbard),saya (剑鞘),90,0
schierke (berserk),席尔克（狂暴）,90,0
seiten ragnarok,Seiten 仙境传说,90,0
serizawa chikaru,芹泽千鹤,90,0
shaving cream,剃须膏,90,0
shiba yuusuke,芝友介,90,0
shimon (31426784),西蒙 (31426784),90,0
shin getter-1,shin getter-1,90,0
shin kawasaki,新川崎,90,0
shindou hikaru,新豆光,90,0
shiromako,白子,90,0
shometsu-kei no teruru,shometsu-kei no teruru,90,0
shumai (sm318),舒麦 (sm318),90,0
shuragyoku mami,修罗玉真身,90,0
sin (kami148),罪 (kami148),90,0
sirius (azur lane) (cosplay),天狼星（碧蓝航线）（角色扮演）,90,0
skirt under dress,裙子下的裙子,90,0
skyrail,天轨,90,0
slavic clothes,斯拉夫服装,90,0
sotto,索托,90,0
sovetskaya rossiya (the lackadaisical lookout) (azur lane),sovetskaya rossiya（懒散的瞭望台）（碧蓝航线）,90,0
soyoking,大豆,90,0
space ishtar (first ascension) (fate),太空伊斯塔（第一次提升）（命运）,90,0
spring2013,2013年春季,90,0
sprite art,精灵艺术,90,0
strike gundam,打击高达,90,0
sugawara koushi,菅原甲士,90,0
sugisaki miku,杉崎未来,90,0
sumisumii,住住,90,0
sword between breasts,胸间剑,90,1
tabby cat,虎斑猫,90,0
taiyaki (astre),鲷鱼烧 (astre),90,0
takanashi sora,高梨空,90,0
taketatsu ayana,竹达绫花,90,0
tamaso,塔马索,90,0
tanino gimlet (umamusume),tanino gimlet (umamusume),90,0
tapu koko,塔普可可,90,0
taro-k,芋头,90,0
teeta j,蒂塔 j,90,0
teruchan,90岁,90,0
text print,文字打印,90,0
the elder scrolls iv: oblivion,上古卷轴 iv：遗忘,90,0
tiese schtrinen,联系方式,90,0
torso (hjk098),躯干 (hjk098),90,0
tosh (imonade ryouchou),tosh (imonade ryouchou),90,0
turretless tank,无炮塔坦克,90,0
type 97 (peony) (girls' frontline),97型（牡丹）（少女前线）,90,0
umeki otoha,梅木乙叶,90,0
ump9 (shiba investigator) (girls' frontline),ump9（芝调查员）（少女前线）,90,0
unused character,未使用的字符,90,0
vectorek,矢量,90,0
vivi (ac8231),薇薇 (ac8231),90,0
wishiwashi (school),Wishiwashi（学校）,90,0
xiao qiang (overseas),小强（海外）,90,0
yabu q,雅布q,90,0
yamaguchi tamon,山口多纹,90,0
yami bakura,八仓,90,0
yandere-chan (ramchi),yandere-chan (ramchi),90,0
yonoisan,与诺山,90,0
youmu-kun,有木君,90,0
youtube creator award,youtube 创作者奖,90,0
yue teitoku,越帝90,90,0
yukina (yu yu hakusho),yukina (yu yu hakusho),90,0
yukizumi remon,雪泉雷门,90,0
yuli (yulipo),玉立（yulipo）,90,0
yuna (biya (1024)),尤娜（比亚（1024））,90,0
yuudachi (shogun of snowballs) (azur lane),yuudachi（雪球将军）（碧蓝航线）,90,0
zinbei,津北,90,0
by Joseph Ducreux,约瑟夫·杜勒,90,0
by Todd McFarlane,托德·麦克法兰,90,0
by Dao Le Trong,道勒特龙,90,0
by Doug Chiang,道格·蒋,90,0
by William Gropper,威廉·格罗珀,90,0
by Stuart Immonen,斯图亚特·伊莫宁,90,0
by Roberto Parada,罗伯托·帕拉达,90,0
by Alex Howitt,亚历克斯·豪伊特,90,0
by Michael Heizer,海泽,90,0
by Lisa Frank,丽莎·弗兰克,90,0
by Junji Ito,伊藤润二,90,0
by Ernst Fuchs,恩斯特·富克斯,90,0
by Jim Mahfood,吉姆·马霍德,90,0
by Grace Popp,格雷斯波普,90,0
by Adrian Tomine,阿德里安·托明,90,0
by Tom Hammick,汤姆·哈米克,90,0
by Charles Gwathmey,查尔斯·格瓦德梅,90,0
by Marie Guillemine Benoist,玛丽·吉列米娜·贝努伊斯特,90,0
by Thornton Oakley,桑顿奥克利,80,0
by Robert Motherwell,罗伯特·马瑟韦尔,80,0
by Iryna Yermolova,伊瑞娜·耶尔莫洛娃,80,0
by Brian Bolland,布莱恩·勃兰德,80,0
by Joe Madureira,乔·马杜雷拉,80,0
by Arthur Adams,亚瑟·亚当斯,80,0
by René Lalique,勒内·拉里克,80,0
by Jon Klassen,克拉森,80,0
by Peter Doig,彼得·多伊格,80,0
by Chad Knight,乍得骑士,80,0
by Marcin Jakubowski,雅库博夫斯基,80,0
by Bill Henson,比尔·亨森,80,0
by Joe Fenton,叹为观止的手绘,80,0
by Alexandre Jacovleff,亚历山大·雅科夫列夫,80,0
by Blek Le Rat,Blek Le鼠,80,0